iter	Passed	Remaining
0	141	141568
1	144	71965
2	146	48753
3	149	37247
4	153	30454
5	155	25771
6	158	22413
7	160	19866
8	161	17823
9	163	16156
10	165	14844
11	167	13785
12	169	12849
13	171	12045
14	172	11334
15	174	10718
16	175	10174
17	178	9735
18	180	9332
19	182	8963
20	184	8599
21	185	8243
22	186	7920
23	187	7629
24	188	7361
25	189	7112
26	191	6899
27	192	6698
28	194	6504
29	195	6318
30	196	6154
31	197	5985
32	199	5836
33	200	5700
34	201	5563
35	202	5433
36	204	5311
37	205	5190
38	206	5082
39	207	4981
40	208	4880
41	209	4785
42	211	4697
43	212	4614
44	213	4524
45	214	4444
46	215	4368
47	216	4298
48	217	4228
49	218	4158
50	219	4092
51	220	4028
52	221	3965
53	222	3905
54	223	3846
55	224	3791
56	225	3736
57	226	3683
58	227	3632
59	228	3583
60	229	3535
61	230	3490
62	231	3442
63	232	3399
64	233	3357
65	234	3315
66	235	3273
67	236	3235
68	236	3197
69	237	3159
70	238	3122
71	239	3086
72	240	3051
73	241	3020
74	242	2988
75	243	2955
76	244	2927
77	245	2900
78	246	2872
79	247	2845
80	248	2818
81	249	2792
82	250	2765
83	251	2741
84	252	2716
85	253	2693
86	254	2670
87	255	2648
88	256	2626
89	257	2604
90	258	2582
91	259	2560
92	260	2538
93	261	2516
94	261	2495
95	262	2474
96	263	2453
97	264	2430
98	264	2410
99	265	2391
100	266	2372
101	267	2354
102	268	2335
103	269	2317
104	269	2300
105	270	2283
106	271	2266
107	272	2249
108	273	2233
109	273	2214
110	274	2198
111	275	2183
112	276	2167
113	277	2153
114	277	2138
115	278	2123
116	279	2109
117	280	2095
118	281	2081
119	282	2068
120	282	2054
121	283	2041
122	284	2028
123	285	2017
124	286	2004
125	287	1992
126	288	1980
127	288	1968
128	289	1956
129	290	1945
130	291	1933
131	292	1921
132	293	1911
133	293	1899
134	294	1888
135	295	1878
136	296	1867
137	297	1857
138	298	1846
139	299	1837
140	300	1827
141	300	1817
142	301	1808
143	302	1798
144	303	1787
145	303	1777
146	304	1768
147	305	1758
148	306	1750
149	307	1741
150	308	1732
151	308	1723
152	309	1715
153	310	1706
154	311	1698
155	312	1690
156	313	1682
157	313	1672
158	314	1664
159	315	1657
160	316	1649
161	317	1641
162	318	1633
163	318	1625
164	319	1617
165	320	1610
166	321	1603
167	322	1595
168	323	1588
169	323	1581
170	324	1574
171	325	1567
172	326	1560
173	327	1553
174	328	1546
175	328	1537
176	329	1530
177	330	1524
178	330	1517
179	331	1511
180	332	1505
181	333	1498
182	334	1492
183	335	1486
184	335	1479
185	336	1473
186	337	1467
187	338	1461
188	339	1455
189	340	1449
190	340	1444
191	341	1438
192	342	1433
193	343	1427
194	344	1421
195	345	1415
196	345	1410
